,occupation_level,education_num,familiarity_FB,view_FB,interested_insurance,created_account,age_by_decade_20s,age_by_decade_30s,age_by_decade_40s,age_by_decade_50s,age_by_decade_60s,age_by_decade_70s,age_by_decade_80s,teens,postcode_encoded,marital_status_divorced,marital_status_married-civ-spouse,marital_status_married-spouse-absent,marital_status_never-married,marital_status_separated,marital_status_widowed,education_encoded,job_title_encoded
10,13,13,1,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5756,0.0,1.0,0.0,0.0,0.0,0.0,9.0,379
11,7,17,3,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23335,0.0,1.0,0.0,0.0,0.0,0.0,10.0,281
12,10,17,4,6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8470,0.0,0.0,0.0,1.0,0.0,0.0,10.0,122
13,4,16,6,9,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,920,0.0,0.0,0.0,1.0,0.0,0.0,13.0,174
14,10,14,8,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28055,0.0,1.0,0.0,0.0,0.0,0.0,12.0,83
15,2,5,3,8,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14776,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9
16,3,12,5,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15281,0.0,0.0,0.0,1.0,0.0,0.0,8.0,216
17,5,12,1,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13022,0.0,0.0,0.0,1.0,0.0,0.0,8.0,183
18,14,9,2,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1142,0.0,1.0,0.0,0.0,0.0,0.0,6.0,241
19,6,18,2,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25215,1.0,0.0,0.0,0.0,0.0,0.0,11.0,224
20,16,21,10,7,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30566,0.0,1.0,0.0,0.0,0.0,0.0,15.0,342
21,9,12,2,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5510,0.0,0.0,0.0,0.0,1.0,0.0,8.0,370
22,12,6,7,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3269,0.0,1.0,0.0,0.0,0.0,0.0,4.0,352
23,9,9,6,6,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4365,0.0,1.0,0.0,0.0,0.0,0.0,6.0,282
24,2,12,9,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983,1.0,0.0,0.0,0.0,0.0,0.0,8.0,311
25,16,17,5,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24897,0.0,1.0,0.0,0.0,0.0,0.0,10.0,500
26,4,12,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4852,0.0,0.0,0.0,1.0,0.0,0.0,8.0,309
27,9,13,7,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29994,0.0,1.0,0.0,0.0,0.0,0.0,9.0,156
28,5,12,6,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25302,1.0,0.0,0.0,0.0,0.0,0.0,8.0,572
29,6,12,7,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27411,0.0,1.0,0.0,0.0,0.0,0.0,8.0,196
30,8,16,2,7,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710,0.0,0.0,0.0,1.0,0.0,0.0,13.0,139
31,6,13,4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5332,0.0,0.0,0.0,1.0,0.0,0.0,9.0,246
32,4,17,5,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19254,1.0,0.0,0.0,0.0,0.0,0.0,10.0,319
33,4,13,6,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21903,0.0,1.0,0.0,0.0,0.0,0.0,9.0,305
34,4,13,7,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10480,0.0,1.0,0.0,0.0,0.0,0.0,9.0,326
35,8,9,6,7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15186,0.0,0.0,0.0,1.0,0.0,0.0,6.0,402
36,9,13,2,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16575,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0
37,10,12,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6476,0.0,0.0,0.0,0.0,0.0,0.0,8.0,83
38,10,13,5,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1217,0.0,1.0,0.0,0.0,0.0,0.0,9.0,107
39,8,16,9,6,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20611,0.0,1.0,0.0,0.0,0.0,0.0,13.0,411
40,12,6,3,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7965,0.0,1.0,0.0,0.0,0.0,0.0,4.0,343
41,7,17,8,6,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27106,0.0,1.0,0.0,0.0,0.0,0.0,10.0,3
42,5,17,4,7,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20390,0.0,1.0,0.0,0.0,0.0,0.0,10.0,10
43,1,12,3,7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19987,0.0,0.0,0.0,0.0,1.0,0.0,8.0,253
44,3,12,1,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7207,0.0,0.0,0.0,1.0,0.0,0.0,8.0,213
45,15,17,3,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30042,0.0,1.0,0.0,0.0,0.0,0.0,10.0,280
46,10,12,3,8,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29185,0.0,1.0,0.0,0.0,0.0,0.0,8.0,308
47,4,18,4,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31230,1.0,0.0,0.0,0.0,0.0,0.0,11.0,50
48,7,14,4,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18057,0.0,1.0,0.0,0.0,0.0,0.0,12.0,291
49,7,14,7,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105,0.0,0.0,0.0,1.0,0.0,0.0,12.0,345
50,8,13,1,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20207,0.0,1.0,0.0,0.0,0.0,0.0,9.0,79
51,4,12,8,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4716,0.0,0.0,0.0,1.0,0.0,0.0,8.0,166
52,10,20,2,8,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27484,0.0,1.0,0.0,0.0,0.0,0.0,14.0,121
53,5,17,6,8,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25792,1.0,0.0,0.0,0.0,0.0,0.0,10.0,173
54,8,12,9,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20600,1.0,0.0,0.0,0.0,0.0,0.0,8.0,411
55,10,13,2,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40,0.0,1.0,0.0,0.0,0.0,0.0,9.0,83
56,7,4,2,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4415,0.0,1.0,0.0,0.0,0.0,0.0,2.0,291
57,8,14,5,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15807,0.0,1.0,0.0,0.0,0.0,0.0,12.0,126
58,10,12,6,9,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8665,0.0,1.0,0.0,0.0,0.0,0.0,8.0,501
59,3,12,3,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3103,0.0,1.0,0.0,0.0,0.0,0.0,8.0,213
60,4,17,6,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9865,0.0,1.0,0.0,0.0,0.0,0.0,10.0,166
61,4,5,2,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7881,0.0,0.0,1.0,0.0,0.0,0.0,3.0,326
62,12,12,7,9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18740,0.0,1.0,0.0,0.0,0.0,0.0,8.0,352
63,14,21,6,8,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25618,0.0,1.0,0.0,0.0,0.0,0.0,15.0,473
64,14,13,1,9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15900,1.0,0.0,0.0,0.0,0.0,0.0,9.0,31
65,4,12,6,9,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21933,0.0,1.0,0.0,0.0,0.0,0.0,8.0,16
66,10,13,8,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16507,1.0,0.0,0.0,0.0,0.0,0.0,9.0,143
67,6,12,3,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25037,0.0,1.0,0.0,0.0,0.0,0.0,8.0,196
68,8,13,8,8,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23707,0.0,1.0,0.0,0.0,0.0,0.0,9.0,402
69,2,13,6,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17235,0.0,0.0,0.0,1.0,0.0,0.0,9.0,375
70,2,13,6,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7245,0.0,0.0,0.0,1.0,0.0,0.0,9.0,254
71,1,17,5,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18765,0.0,0.0,0.0,0.0,1.0,0.0,10.0,250
72,9,17,2,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21929,0.0,1.0,0.0,0.0,0.0,0.0,10.0,65
73,10,13,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14986,0.0,0.0,0.0,1.0,0.0,0.0,9.0,88
74,2,13,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22658,0.0,1.0,0.0,0.0,0.0,0.0,9.0,361
75,1,12,4,9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2094,0.0,0.0,0.0,1.0,0.0,0.0,8.0,609
76,7,16,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23072,0.0,1.0,0.0,0.0,0.0,0.0,13.0,599
77,7,8,4,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3476,0.0,1.0,0.0,0.0,0.0,0.0,5.0,73
78,4,9,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12729,0.0,0.0,0.0,1.0,0.0,0.0,6.0,304
79,3,5,2,7,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1945,0.0,1.0,0.0,0.0,0.0,0.0,3.0,221
80,6,12,8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039,0.0,0.0,0.0,1.0,0.0,0.0,8.0,224
81,12,17,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20915,0.0,1.0,0.0,0.0,0.0,0.0,10.0,344
82,3,12,7,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24926,0.0,1.0,0.0,0.0,0.0,0.0,8.0,373
83,8,12,8,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27507,0.0,1.0,0.0,0.0,0.0,0.0,8.0,118
84,18,12,6,6,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6805,1.0,0.0,0.0,0.0,0.0,0.0,8.0,476
85,2,12,6,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13479,1.0,0.0,0.0,0.0,0.0,0.0,8.0,656
86,15,12,6,7,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25857,0.0,1.0,0.0,0.0,0.0,0.0,8.0,269
87,8,18,3,10,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29798,0.0,1.0,0.0,0.0,0.0,0.0,11.0,411
88,3,6,5,8,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11467,0.0,0.0,0.0,1.0,0.0,0.0,4.0,213
89,8,21,8,8,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25441,0.0,0.0,0.0,1.0,0.0,0.0,15.0,35
90,11,14,10,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9063,0.0,1.0,0.0,0.0,0.0,0.0,12.0,45
91,5,13,4,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12602,1.0,0.0,0.0,0.0,0.0,0.0,9.0,176
92,1,13,8,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19707,1.0,0.0,0.0,0.0,0.0,0.0,9.0,140
93,6,12,4,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17280,0.0,1.0,0.0,0.0,0.0,0.0,8.0,33
94,12,17,8,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28530,0.0,1.0,0.0,0.0,0.0,0.0,10.0,352
95,10,13,3,8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19698,0.0,0.0,0.0,1.0,0.0,0.0,9.0,149
96,10,21,2,10,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30482,0.0,1.0,0.0,0.0,0.0,0.0,15.0,149
97,6,13,8,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20961,0.0,1.0,0.0,0.0,0.0,0.0,9.0,246
98,8,16,3,5,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8271,1.0,0.0,0.0,0.0,0.0,0.0,13.0,118
99,6,12,3,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13569,0.0,0.0,0.0,1.0,0.0,0.0,8.0,150
100,10,18,6,5,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25354,0.0,1.0,0.0,0.0,0.0,0.0,11.0,121
101,11,17,6,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28823,0.0,1.0,0.0,0.0,0.0,0.0,10.0,165
102,4,18,9,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24166,0.0,0.0,0.0,1.0,0.0,0.0,11.0,324
103,12,13,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,1.0,0.0,0.0,9.0,335
104,10,12,8,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11390,0.0,0.0,0.0,1.0,0.0,0.0,8.0,107
105,12,12,4,6,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27138,0.0,1.0,0.0,0.0,0.0,0.0,8.0,347
106,2,8,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6528,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9
107,4,9,6,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10178,0.0,0.0,0.0,1.0,0.0,0.0,6.0,310
108,6,12,9,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6227,0.0,0.0,0.0,1.0,0.0,0.0,8.0,224
109,9,12,9,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21775,0.0,1.0,0.0,0.0,0.0,0.0,8.0,285
110,6,17,6,7,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7287,0.0,0.0,0.0,1.0,0.0,0.0,10.0,239
111,6,20,3,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22412,0.0,1.0,0.0,0.0,0.0,0.0,14.0,33
112,8,12,4,10,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27974,0.0,1.0,0.0,0.0,0.0,0.0,8.0,402
113,13,13,10,7,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14187,0.0,1.0,0.0,0.0,0.0,0.0,9.0,379
114,5,12,4,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2189,0.0,0.0,0.0,1.0,0.0,0.0,8.0,160
115,7,6,3,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22539,0.0,1.0,0.0,0.0,0.0,0.0,4.0,357
116,4,13,4,8,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26274,0.0,1.0,0.0,0.0,0.0,0.0,9.0,319
117,6,14,7,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28689,0.0,1.0,0.0,0.0,0.0,0.0,12.0,246
118,10,13,7,8,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26666,0.0,1.0,0.0,0.0,0.0,0.0,9.0,122
119,4,12,8,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9667,0.0,0.0,0.0,1.0,0.0,0.0,8.0,326
120,1,13,9,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6501,0.0,0.0,0.0,1.0,0.0,0.0,9.0,350
121,13,17,6,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25831,0.0,1.0,0.0,0.0,0.0,0.0,10.0,20
122,7,17,5,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18371,0.0,0.0,0.0,1.0,0.0,0.0,10.0,635
123,10,17,9,6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28546,0.0,1.0,0.0,0.0,0.0,0.0,10.0,127
124,5,13,7,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14754,0.0,0.0,0.0,1.0,0.0,0.0,9.0,160
125,6,17,6,10,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1530,0.0,1.0,0.0,0.0,0.0,0.0,10.0,246
126,9,13,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14409,0.0,0.0,0.0,1.0,0.0,0.0,9.0,64
127,13,16,2,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21005,0.0,1.0,0.0,0.0,0.0,0.0,13.0,53
128,10,12,5,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22278,0.0,1.0,0.0,0.0,0.0,0.0,8.0,149
129,2,13,8,8,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21909,1.0,0.0,0.0,0.0,0.0,0.0,9.0,361
130,3,16,6,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13791,0.0,0.0,0.0,1.0,0.0,0.0,13.0,202
131,6,12,6,8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12059,0.0,0.0,0.0,1.0,0.0,0.0,8.0,57
132,8,12,6,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24711,0.0,1.0,0.0,0.0,0.0,0.0,8.0,394
133,11,17,6,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25775,0.0,1.0,0.0,0.0,0.0,0.0,10.0,45
134,11,16,3,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19246,1.0,0.0,0.0,0.0,0.0,0.0,13.0,45
135,14,18,7,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29757,0.0,1.0,0.0,0.0,0.0,0.0,11.0,31
136,10,12,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3127,0.0,1.0,0.0,0.0,0.0,0.0,8.0,107
137,9,14,3,8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24546,0.0,1.0,0.0,0.0,0.0,0.0,12.0,70
138,4,13,2,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14225,0.0,0.0,0.0,1.0,0.0,0.0,9.0,180
139,9,13,8,6,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20423,0.0,1.0,0.0,0.0,0.0,0.0,9.0,282
140,9,12,3,9,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29323,0.0,1.0,0.0,0.0,0.0,0.0,8.0,306
141,6,13,9,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4824,0.0,0.0,0.0,1.0,0.0,0.0,9.0,246
142,8,13,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18860,0.0,0.0,0.0,1.0,0.0,0.0,9.0,136
143,16,14,8,8,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30490,0.0,0.0,0.0,1.0,0.0,0.0,12.0,678
144,5,13,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2245,0.0,0.0,0.0,1.0,0.0,0.0,9.0,160
145,6,12,10,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19916,0.0,0.0,0.0,1.0,0.0,0.0,8.0,642
146,8,13,6,6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8213,0.0,1.0,0.0,0.0,0.0,0.0,9.0,118
147,13,12,3,9,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10625,0.0,0.0,0.0,0.0,0.0,1.0,8.0,367
148,4,9,9,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9502,0.0,1.0,0.0,0.0,0.0,0.0,6.0,159
149,7,13,7,6,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16262,1.0,0.0,0.0,0.0,0.0,0.0,9.0,73
150,4,13,4,9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15668,1.0,0.0,0.0,0.0,0.0,0.0,9.0,178
151,6,12,7,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7201,0.0,0.0,0.0,1.0,0.0,0.0,8.0,676
152,4,17,2,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14573,0.0,0.0,0.0,1.0,0.0,0.0,10.0,324
153,4,12,2,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3128,0.0,0.0,0.0,1.0,0.0,0.0,8.0,326
154,9,12,1,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8905,1.0,0.0,0.0,0.0,0.0,0.0,8.0,282
155,16,12,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23951,0.0,1.0,0.0,0.0,0.0,0.0,8.0,418
156,7,17,8,8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20199,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1
157,1,13,10,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15758,0.0,0.0,0.0,0.0,1.0,0.0,9.0,267
158,5,12,5,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817,1.0,0.0,0.0,0.0,0.0,0.0,8.0,244
159,8,17,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13155,0.0,0.0,0.0,0.0,1.0,0.0,10.0,79
160,9,3,6,8,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7909,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
161,12,12,4,6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7356,0.0,0.0,0.0,1.0,0.0,0.0,8.0,345
162,7,18,2,6,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13945,1.0,0.0,0.0,0.0,0.0,0.0,11.0,257
163,13,12,1,9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5632,0.0,0.0,0.0,1.0,0.0,0.0,8.0,545
164,17,18,4,8,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20625,0.0,1.0,0.0,0.0,0.0,0.0,11.0,300
165,2,13,1,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15698,1.0,0.0,0.0,0.0,0.0,0.0,9.0,266
166,7,16,8,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18248,0.0,0.0,0.0,1.0,0.0,0.0,13.0,359
167,15,18,7,9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3845,0.0,0.0,0.0,0.0,0.0,1.0,11.0,280
