,salary_in_gbp
324,17963.0
325,19152.72
326,43047.0
327,19509.0
328,20719.0
329,21785.399999999998
330,18219.5
331,15270.96
332,44296.0
333,25302.72
334,23041.72
335,0.0
336,23898.16
337,16540.0
338,22660.0
339,29210.5
340,73387.0
341,13708.0
342,29126.0
343,20362.16
344,19728.0
345,18780.32
346,44110.0
347,29880.0
348,19570.199999999997
349,18249.0
350,19157.5
351,19126.800000000003
352,49816.0
353,18781.0
354,29410.0
355,21976.24
356,18161.0
357,25423.44
358,26799.76
359,22764.04
360,21929.96
361,84477.0
362,22570.0
363,50496.0
364,16539.84
365,17697.5
366,17360.28
367,30444.0
368,23118.0
369,18896.0
370,38847.0
371,25504.440000000002
372,28368.5
373,21976.0
374,58540.5
375,22384.44
376,15820.560000000001
377,34392.0
378,43171.5
379,20963.0
380,17066.399999999998
381,18915.0
382,18968.04
383,16218.0
384,33204.6
385,19291.0
386,34544.88
387,14539.720000000001
388,17141.0
389,64407.5
390,17558.32
391,39102.44
392,19293.0
393,15872.0
394,22992.84
395,19212.12
396,43659.840000000004
397,23230.0
398,36082.0
399,52851.0
400,19033.559999999998
401,31572.0
402,20702.76
403,26252.64
404,22940.0
405,24914.5
406,30800.879999999997
407,28074.5
408,16617.12
409,30880.72
410,18578.0
411,19753.0
412,21070.199999999997
413,43933.76
414,27678.48
415,15901.080000000002
416,17722.0
417,31175.0
418,20973.0
419,19551.48
420,18542.68
421,74121.0
422,36230.0
423,61660.0
424,26098.0
425,18121.68
426,19820.0
427,38617.0
428,15499.0
429,41392.8
430,26944.0
431,30907.0
432,22642.0
433,20509.32
434,22602.0
435,24934.0
436,19658.08
437,19844.24
438,29126.0
439,19127.0
440,21606.0
441,21225.88
442,18937.0
443,18231.2
444,21482.0
445,18092.88
446,40487.0
447,27721.0
448,50903.0
449,23287.800000000003
450,22781.04
451,15588.36
452,25866.72
453,14253.2
454,23201.36
455,16873.0
456,17787.5
457,23403.12
458,18479.0
459,15171.0
460,14203.199999999999
461,19140.0
462,31031.0
463,24847.800000000003
464,21482.24
465,18467.0
466,15873.0
467,27566.5
468,16540.0
469,15305.0
470,24145.0
471,33622.0
472,15034.800000000001
473,18693.0
474,22814.0
475,23088.0
476,18315.0
477,35028.76
478,17558.0
479,43051.5
480,17646.0
481,23647.0
482,23264.0
483,22045.800000000003
484,33481.5
485,25449.84
486,21362.5
487,23783.0
488,19614.239999999998
489,45498.0
490,15053.0
491,13072.560000000001
492,45076.72
493,20244.5
494,17874.0
495,28929.68
496,19929.0
497,22305.92
498,30255.0
499,17130.36
500,27406.5
501,30495.0
502,27524.879999999997
503,24179.0
504,18631.0
505,21213.0
506,23534.0
507,14003.0
508,24916.0
509,17783.48
510,25913.04
511,18786.0
512,0.0
513,20679.12
514,30246.5
515,24119.0
516,21801.0
517,32592.0
518,18999.0
519,27116.28
520,29069.760000000002
521,42778.92
522,22099.920000000002
523,30584.159999999996
524,18641.760000000002
525,29727.0
526,31473.0
527,24685.5
528,15981.0
529,20232.16
530,26886.0
531,28421.119999999995
532,19211.92
533,43085.0
534,31481.0
535,31023.0
536,25322.5
537,22193.5
538,17777.0
539,18933.72
540,16080.0
541,20678.0
542,18917.0
543,36275.28
544,23010.0
545,34545.0
546,16463.0
547,14284.920000000002
548,17783.28
549,18876.0
550,22404.239999999998
551,17625.0
552,30542.0
553,69310.0
554,29794.0
555,33283.8
556,19911.0
557,20144.0
558,15700.0
559,17388.0
560,29666.5
561,18122.0
562,19727.64
563,19159.56
564,36076.0
565,16130.52
566,35502.48
567,41668.0
568,17850.48
569,50405.04
570,25612.08
571,21684.5
572,19475.28
573,29045.0
574,70156.84
575,17981.04
576,24237.72
577,22359.84
578,38872.6
579,33587.32
580,37268.5
581,37963.0
582,15013.0
583,33276.0
584,21492.239999999998
585,14428.440000000002
586,29937.239999999998
587,26700.0
588,25297.48
589,21852.0
590,20108.0
591,23599.5
592,26651.0
593,23274.48
594,16939.0
595,45842.5
596,26454.0
597,40199.0
598,19794.0
599,21368.0
600,21124.0
601,30571.800000000003
602,34621.0
603,15905.76
604,28239.0
605,19071.0
606,67598.04000000001
607,47142.0
608,43468.0
609,31636.0
610,18658.0
611,37300.0
612,17328.0
613,24632.0
614,71679.36
615,23118.0
616,18126.0
617,0.0
618,39906.600000000006
619,20084.48
620,31251.0
621,34226.0
622,52352.0
623,45876.0
624,14678.0
625,21888.84
626,26491.92
627,15499.0
628,52117.0
629,18122.0
630,39309.4
631,20275.0
632,22999.079999999998
633,19338.0
634,23811.5
635,27288.96
636,15855.599999999999
637,14517.0
638,21123.0
639,27883.0
640,0.0
641,21930.0
642,14696.0
643,21915.0
644,33010.5
645,21750.0
646,49046.0
647,24439.0
648,30085.0
649,52906.0
650,28113.8
651,37264.0
652,19588.920000000002
653,29829.0
654,22370.0
655,20283.0
656,26569.0
657,34966.0
658,19767.0
659,22393.079999999998
660,14954.0
661,20897.0
662,17652.96
663,22225.84
664,16231.0
665,22959.48
666,25425.0
667,50771.5
668,22107.0
669,17892.0
670,42281.04
671,18319.920000000002
672,18976.36
673,29333.0
674,58506.12
675,24151.0
676,18662.0
677,54591.0
678,26538.2
679,27781.0
680,16963.440000000002
681,22573.0
682,21009.5
683,33074.0
684,44579.08
685,64867.92
686,27059.0
687,13577.720000000001
688,37915.0
689,14083.16
690,19381.0
691,16561.0
692,22077.0
693,68755.5
694,21283.5
695,48514.0
696,17302.56
697,34555.5
698,27423.72
699,26561.0
700,33010.5
701,24083.64
702,64814.0
703,39485.0
704,18757.44
705,44249.0
706,29169.0
707,14642.04
708,22212.32
709,42525.0
710,22686.0
711,39259.5
712,16355.16
713,19305.0
714,15285.0
715,23475.0
716,23296.0
717,30311.0
718,14514.24
719,18743.399999999998
720,32093.880000000005
721,22138.44
722,16111.679999999998
723,87702.25
724,25227.0
725,27231.359999999997
726,33507.0
727,19152.64
728,24291.96
729,16640.0
730,20619.0
731,25323.0
732,18288.399999999998
733,21155.16
734,18552.0
735,39310.0
736,36496.5
737,16159.0
738,23086.440000000002
739,22903.0
740,34185.0
741,36345.479999999996
742,18395.0
743,14617.0
744,16708.0
745,21651.0
746,23667.0
747,29201.52
748,87702.25
749,13757.64
750,22934.28
751,46193.28
752,14874.119999999999
753,18194.0
754,21036.0
755,24599.5
756,16279.0
757,31895.0
758,23495.0
759,22097.0
760,14720.64
761,32974.68
762,17870.88
763,14274.0
764,18551.0
765,24683.0
766,17010.0
767,60463.68000000001
768,21781.76
769,17062.0
770,21803.5
771,18743.0
772,24357.5
773,27405.0
774,16773.5
775,47631.0
776,20888.0
777,43747.6
778,44765.5
779,18083.64
780,30455.0
781,27087.0
782,25178.5
783,32897.799999999996
784,26521.0
785,32285.24
786,29880.0
787,16165.24
788,19313.0
789,53667.0
790,19331.16
791,21489.96
792,32672.0
793,33046.0
794,22300.0
795,21675.5
796,16912.0
797,27557.4
798,23460.0
799,30057.0
800,18459.12
801,15030.0
802,28831.0
803,34082.0
804,21814.0
805,20310.0
806,18325.68
807,26014.199999999997
808,16990.44
809,16005.72
810,23290.5
811,19871.0
812,21254.0
813,16813.5
814,23852.04
815,15357.0
816,22325.16
817,24736.5
818,67715.5
819,51809.16
820,57038.0
821,17606.16
822,39141.0
823,16096.6
824,24381.24
825,34206.0
826,20624.0
827,20160.0
828,20332.079999999998
829,21860.0
830,15494.0
831,26816.0
832,37662.36
833,19894.44
834,42207.880000000005
835,60425.0
836,87702.25
837,23061.0
838,19684.0
839,27912.5
840,34140.0
841,18701.0
842,25681.0
843,30142.0
844,34435.96
845,20105.8
846,19495.0
847,0.0
848,22047.36
849,23527.800000000003
850,37991.72
851,30037.0
852,20028.0
853,24382.0
854,17781.92
855,29102.52
856,28085.0
857,26112.5
858,21688.0
859,17384.28
860,16457.52
861,15960.599999999999
862,24094.0
863,26037.0
864,18035.0
865,20663.0
866,19749.08
867,21123.72
868,16542.0
869,43200.0
870,19731.0
871,19481.04
872,13594.0
873,18959.88
874,23086.199999999997
875,20827.559999999998
876,14463.0
877,19817.5
878,25584.0
879,16204.0
880,72970.0
881,19856.0
882,16642.0
883,20327.0
884,15713.0
885,20563.68
886,31319.0
887,23332.0
888,19293.559999999998
889,41574.0
890,28933.0
891,42783.5
892,16392.0
893,22404.0
894,16486.0
895,52578.5
896,16130.919999999998
897,49499.0
898,23274.72
899,22416.16
900,38375.0
901,16598.0
902,32033.0
903,44314.56
904,20772.0
905,28543.0
906,49752.04
907,27893.0
908,23720.0
909,42319.44
910,32164.0
911,18177.12
912,18340.0
913,34831.0
914,22920.0
915,37201.0
916,15238.0
917,87702.25
918,19713.0
919,34271.399999999994
920,21551.0
921,37333.0
922,29505.48
923,16257.8
924,21452.64
925,13350.0
926,22161.36
927,24046.0
928,16070.0
929,19343.760000000002
930,16456.32
931,19041.0
932,17403.0
933,25959.0
934,14520.0
935,28642.0
936,64215.0
937,34600.799999999996
938,23019.0
939,22920.5
940,21126.84
941,30973.8
942,28708.0
943,15320.52
944,24019.0
945,40672.32
946,32197.32
947,26373.0
948,29390.0
949,17070.0
950,21034.0
951,27577.0
952,17499.0
953,29178.0
954,18901.5
955,16623.0
956,19725.0
957,37111.0
958,44036.5
959,76842.0
960,24678.68
961,28066.0
962,32815.92
963,87702.25
964,18927.48
965,22083.239999999998
966,17084.0
967,16106.0
968,33967.32
969,24291.8
970,25913.04
971,24361.44
972,60735.0
973,14755.0
974,18594.0
975,15860.0
976,22737.5
977,22550.5
978,37034.4
979,24669.32
980,20163.84
981,20085.0
982,22300.0
983,19272.0
984,53449.0
985,23204.0
986,30815.0
987,87702.25
988,23376.0
989,87702.25
990,17730.0
991,19338.0
992,21234.5
993,20743.5
994,29534.440000000002
995,19934.72
996,24401.0
997,33881.0
998,18419.0
999,20996.0
1000,33449.0
1001,16801.0
1002,22104.6
1003,26770.0
1004,26552.0
1005,19429.8
1006,17798.88
1007,16028.0
1008,24484.5
1009,63291.0
1010,41438.04
1011,19320.0
1012,38107.0
1013,27985.880000000005
1014,34427.64
1015,30923.5
1016,56548.68000000001
1017,79829.0
1018,29892.840000000004
1019,18035.0
1020,28523.399999999998
1021,29629.5
1022,19481.0
1023,24083.16
1024,20838.0
1025,18580.5
1026,38604.5
1027,33514.0
1028,24068.0
1029,30059.640000000003
1030,19084.0
1031,26275.5
1032,34430.0
1033,21374.16
1034,16523.52
1035,17293.0
1036,22162.0
1037,20806.800000000003
1038,34698.0
1039,14738.0
1040,14205.0
1041,20720.0
1042,39523.68
1043,25272.0
1044,53937.479999999996
1045,87702.25
1046,18625.88
1047,29246.359999999997
1048,34544.88
1049,19311.24
1050,16535.0
1051,39242.520000000004
1052,23030.0
1053,22013.5
1054,37915.0
1055,41783.159999999996
1056,17539.0
1057,87702.25
1058,16660.0
1059,40592.5
1060,20123.64
1061,46108.92
1062,17381.52
1063,16056.0
1064,23892.440000000002
1065,50296.0
1066,18750.0
1067,16634.64
1068,44426.0
1069,18855.0
1070,17691.36
1071,37181.0
1072,21494.5
1073,50088.0
1074,16968.0
1075,34424.0
1076,23044.0
1077,20020.5
1078,87702.25
1079,51274.44
1080,22813.56
1081,40940.64
1082,36689.64
1083,20025.2
1084,23125.800000000003
1085,50495.64
1086,28242.0
1087,21123.96
1088,17941.800000000003
1089,26793.0
1090,33809.0
1091,20534.760000000002
1092,23273.0
1093,14203.0
1094,29621.0
1095,25062.0
1096,26109.0
1097,18760.0
1098,19637.28
1099,17190.16
1100,18124.0
1101,32355.0
1102,20765.28
1103,87702.25
1104,16377.0
1105,23336.16
1106,20035.0
1107,19879.600000000002
1108,40148.0
1109,14719.12
1110,25504.0
1111,17454.96
1112,37366.0
1113,21999.0
1114,20191.199999999997
1115,41209.0
1116,74936.68
1117,24778.0
1118,20603.0
1119,23201.4
1120,61726.5
1121,20888.0
1122,23643.5
1123,19445.0
1124,14946.0
1125,20940.0
1126,31374.2
1127,18320.0
1128,19749.08
1129,24957.0
1130,20958.48
1131,24007.0
1132,27789.0
1133,42204.24
1134,23604.0
1135,17106.0
1136,17626.920000000002
1137,16499.0
1138,45061.0
1139,22327.5
1140,16803.0
1141,13398.599999999999
1142,22276.0
1143,29966.0
1144,29966.04
1145,18766.8
1146,22660.0
1147,24426.5
1148,26930.0
1149,17507.0
1150,18781.0
1151,74937.0
1152,32055.0
1153,41936.44
1154,20447.0
1155,24462.5
1156,25302.72
1157,19846.0
1158,27603.48
1159,19177.600000000002
1160,34910.0
1161,14751.48
1162,20275.32
1163,17478.0
1164,19753.0
1165,21631.0
1166,18359.0
1167,24871.08
1168,18062.2
1169,16456.199999999997
1170,23351.28
1171,37300.0
1172,36665.5
1173,17214.0
1174,19350.76
1175,22225.0
1176,23554.0
1177,27141.5
1178,87702.25
1179,29152.0
1180,40442.0
1181,19023.5
1182,18764.2
1183,33875.0
1184,25041.239999999998
1185,14944.199999999999
1186,15488.0
1187,21969.0
1188,25418.12
1189,14102.919999999998
1190,32902.0
1191,48066.0
1192,21791.12
1193,17730.0
1194,22559.0
1195,18487.0
1196,19802.0
1197,19035.0
1198,18152.0
1199,53349.0
1200,22364.68
1201,15920.880000000001
1202,29343.0
1203,18601.0
1204,20309.0
1205,17455.0
1206,17566.56
1207,35694.0
1208,20292.0
1209,25072.0
1210,32866.5
1211,74724.0
1212,17594.0
1213,33788.0
1214,46653.0
1215,16945.0
1216,19584.0
1217,34427.88
1218,19443.0
1219,39983.32
1220,20302.36
1221,27742.44
1222,18743.16
1223,32873.399999999994
1224,24171.0
1225,40290.0
1226,34856.5
1227,28659.5
1228,26195.0
1229,17515.16
1230,16948.0
1231,23146.0
1232,16059.679999999998
1233,17289.0
1234,17075.0
1235,28344.0
1236,25936.04
1237,19127.68
1238,18761.0
1239,15321.0
1240,20552.4
1241,20103.239999999998
1242,18383.64
1243,18796.0
1244,20084.52
1245,13964.0
1246,30725.399999999998
1247,47054.0
1248,22694.0
1249,36378.36
1250,19892.0
1251,40902.0
1252,14463.0
1253,44387.0
1254,19035.0
1255,28440.359999999997
1256,39210.0
1257,47142.0
1258,38666.5
1259,45876.24
1260,24913.0
1261,25380.840000000004
1262,36082.08
1263,26857.0
1264,17871.0
1265,20988.5
1266,33678.84
1267,34008.0
1268,24401.04
1269,17977.440000000002
1270,22615.199999999997
1271,42777.5
1272,17470.0
1273,15114.5
1274,26475.0
1275,23733.5
1276,24772.5
1277,32324.0
1278,18558.0
1279,19344.5
1280,21294.0
1281,16773.0
1282,43698.0
1283,27634.0
1284,23849.0
1285,17272.0
1286,16357.0
1287,0.0
1288,30398.0
1289,21254.0
1290,24755.879999999997
1291,76078.0
1292,29465.0
1293,20422.0
1294,19392.0
1295,19694.5
1296,19940.5
1297,16879.0
1298,35753.0
1299,25210.68
1300,23684.0
1301,18660.0
1302,70860.0
1303,87702.25
1304,28670.760000000002
1305,17799.0
1306,22268.0
1307,13822.0
1308,27851.64
1309,85479.0
1310,23599.5
1311,18518.0
1312,14766.96
1313,22043.5
1314,19549.0
1315,41745.0
1316,45967.0
1317,26051.159999999996
1318,18403.0
1319,22485.84
1320,16040.0
1321,19251.84
1322,22067.28
1323,21721.68
1324,38902.0
1325,23700.239999999998
1326,16804.199999999997
1327,37724.0
1328,16262.0
1329,16198.560000000001
1330,34851.0
1331,14856.0
1332,41438.28
1333,19291.0
1334,42978.0
1335,44155.0
1336,26834.0
1337,35357.92
1338,26098.28
1339,20487.5
1340,27490.0
1341,43928.88
1342,29955.5
1343,48126.0
1344,20490.6
1345,43249.56
1346,20263.0
1347,20748.84
1348,35456.520000000004
1349,20490.600000000002
1350,87702.25
1351,19253.760000000002
1352,33395.88
1353,19851.5
1354,37339.0
1355,21105.76
1356,87702.25
1357,34831.0
1358,0.0
1359,18641.48
1360,18785.52
1361,15221.0
1362,17213.04
1363,34514.0
1364,20606.0
1365,16333.0
1366,18977.0
1367,20333.0
1368,16186.0
1369,44617.04
1370,18744.96
1371,18022.5
1372,22658.0
1373,17269.199999999997
1374,33075.0
1375,34774.68
1376,24888.0
1377,23892.0
1378,15321.279999999999
1379,57806.5
1380,19244.0
1381,43158.96
1382,39473.0
1383,35325.0
1384,46821.5
1385,25849.68
1386,33183.5
1387,17758.52
1388,46873.0
1389,41515.0
1390,25965.0
1391,15400.84
1392,23921.0
1393,16306.0
1394,27404.159999999996
1395,25245.0
1396,32470.44
1397,23435.0
1398,23297.0
1399,19192.0
1400,45345.0
1401,87702.25
1402,33132.479999999996
1403,21828.0
1404,21175.079999999998
1405,25061.760000000002
1406,34000.0
1407,26526.24
1408,17407.920000000002
1409,51228.5
1410,19160.0
1411,25271.5
1412,16773.0
1413,29102.0
1414,17254.12
1415,14036.0
1416,22417.0
1417,14821.0
1418,19128.0
1419,31736.5
1420,37565.5
1421,52089.96
1422,45239.5
1423,69065.88
1424,19659.0
1425,20856.16
1426,15284.0
1427,20445.239999999998
1428,16390.0
1429,21338.0
1430,27721.0
1431,20981.0
1432,27381.0
1433,16249.079999999998
1434,18850.0
1435,30559.0
1436,18383.559999999998
1437,17714.0
1438,22067.0
1439,19329.0
1440,53847.04
1441,19938.0
1442,23282.0
1443,20604.0
1444,23083.0
1445,21551.760000000002
1446,24208.920000000002
1447,14695.720000000001
1448,41707.0
1449,22903.0
1450,51873.0
1451,19501.559999999998
1452,16440.36
1453,23653.0
1454,62016.0
1455,26996.0
1456,19113.12
1457,18552.0
1458,28239.119999999995
1459,29246.0
1460,38024.0
1461,49454.0
1462,21145.56
1463,23527.800000000003
1464,22820.72
1465,20243.16
1466,18577.68
1467,18003.0
1468,27768.0
1469,17122.0
1470,23572.56
1471,43660.0
1472,80490.5
1473,17463.0
1474,87702.25
1475,30397.800000000003
1476,28318.68
1477,34732.32
1478,19810.0
1479,46790.5
1480,19518.0
1481,23118.0
1482,15571.800000000001
1483,17658.0
1484,20137.68
1485,52398.0
1486,17784.52
1487,20909.72
1488,24017.24
1489,18451.0
1490,27668.0
1491,20030.0
1492,17998.56
1493,23916.0
1494,23197.32
1495,20461.0
1496,26080.0
1497,22206.08
1498,20448.0
1499,45422.0
1500,19605.0
1501,45115.2
1502,21277.0
1503,87702.25
1504,26770.640000000003
1505,19540.0
1506,25427.0
1507,41166.0
1508,30311.5
1509,48412.32
1510,15522.0
1511,26591.0
1512,16456.0
1513,29179.5
1514,15325.920000000002
1515,61714.0
1516,19931.28
1517,21232.0
1518,69321.5
1519,19071.0
1520,34312.72
1521,25566.0
1522,19673.5
1523,17424.72
1524,22860.24
1525,34554.0
1526,19565.5
1527,36592.4
1528,23504.52
1529,19906.0
1530,19278.0
1531,23345.399999999998
1532,32815.64
1533,21254.0
1534,15528.76
1535,13552.0
1536,14425.439999999999
1537,15625.0
1538,34514.28
1539,14800.24
1540,19552.0
1541,51057.0
1542,37453.0
1543,29827.0
1544,22995.0
1545,26963.0
1546,20977.0
1547,26075.0
1548,24268.0
1549,23201.0
1550,64134.12
1551,19827.0
1552,20711.0
1553,21016.68
1554,72303.5
1555,26978.0
1556,20441.4
1557,34765.0
1558,35234.16
1559,41056.0
1560,21445.0
1561,22785.5
1562,53620.44
1563,19209.0
1564,33740.72
1565,18318.0
1566,57201.0
1567,24732.24
1568,19544.0
1569,16139.0
1570,17467.0
1571,34359.5
1572,22305.12
1573,19124.0
1574,15999.599999999999
1575,15791.0
1576,27656.0
1577,19545.0
1578,21576.0
1579,23574.0
1580,22992.84
1581,35119.32
1582,13569.0
1583,23242.0
1584,18638.04
1585,20997.0
1586,23203.68
1587,15154.560000000001
1588,15649.0
1589,22232.28
1590,26961.5
1591,24357.5
1592,24381.76
1593,20249.0
1594,27094.0
1595,39753.36
1596,20147.0
1597,22062.0
1598,22660.0
1599,44477.76
1600,71594.0
1601,0.0
1602,19077.0
1603,15774.96
1604,22967.0
1605,30916.0
1606,20243.0
1607,18641.48
1608,63454.0
1609,57527.0
1610,17070.0
1611,22856.28
1612,21070.0
1613,87702.25
1614,63189.0
1615,28296.48
1616,18810.0
1617,53666.0
1618,14153.36
1619,14284.920000000002
1620,18570.0
1621,36246.72
1622,20663.0
1623,77709.32
1624,28346.0
1625,0.0
1626,27603.68
1627,23316.36
1628,37102.52
1629,14947.0
1630,22694.0
1631,53069.0
1632,15921.0
1633,28037.0
1634,42625.96
1635,16452.0
1636,33356.5
1637,15821.0
1638,37201.44
1639,24338.28
1640,16524.0
1641,19104.0
1642,20178.5
1643,58234.31999999999
1644,20285.760000000002
1645,54073.0
1646,16692.0
1647,33817.0
1648,13602.0
1649,20035.0
1650,44206.0
1651,42110.5
1652,23316.5
1653,14034.0
1654,17269.199999999997
1655,27606.0
1656,22622.4
1657,24036.0
1658,25334.04
1659,20177.0
1660,21370.0
1661,20396.0
1662,22573.0
1663,18059.0
1664,32592.5
1665,32230.0
1666,27203.0
1667,16092.960000000001
1668,27192.0
1669,17796.0
1670,41574.0
1671,18760.0
1672,29592.0
1673,73996.0
1674,45785.64
1675,17059.0
1676,17197.0
1677,23134.0
1678,19233.96
1679,20921.0
1680,42706.08
1681,18909.72
1682,41285.0
1683,30715.0
1684,41302.0
1685,15772.079999999998
1686,30916.0
1687,30983.0
1688,63472.31999999999
1689,23736.440000000002
1690,43294.92
1691,25179.0
1692,19310.28
1693,87702.25
1694,21894.08
1695,52948.68000000001
1696,17180.0
1697,19296.16
1698,19879.68
1699,18722.5
1700,20168.72
1701,32675.5
1702,16027.440000000002
1703,37432.0
1704,26677.199999999997
1705,26193.0
1706,25963.0
1707,13448.0
1708,17555.5
1709,40826.0
1710,32131.0
1711,37340.68
1712,24721.0
1713,17196.399999999998
1714,22528.0
1715,20441.4
1716,21861.5
1717,30830.0
1718,72076.5
1719,26700.36
1720,46761.0
1721,20217.5
1722,24208.920000000002
1723,19894.0
1724,23062.0
1725,38313.0
1726,45239.5
1727,39524.0
1728,15034.800000000001
1729,18963.0
1730,20163.84
1731,17804.52
1732,22711.0
1733,16677.6
1734,18558.0
1735,42706.0
1736,28214.0
1737,24987.0
1738,42616.0
1739,24273.0
1740,50360.0
1741,66566.5
1742,20699.0
1743,17958.0
1744,19175.0
1745,38911.0
1746,23041.0
1747,17099.0
1748,31174.68
1749,24611.879999999997
1750,32643.0
1751,25297.0
1752,14789.320000000002
1753,36536.399999999994
1754,18881.0
1755,27173.879999999997
1756,51854.4
1757,57799.0
1758,31054.0
1759,25244.96
1760,19124.0
1761,36651.24
1762,38144.88
1763,56711.88
1764,16079.16
1765,20309.64
1766,26931.96
1767,14356.0
1768,20827.0
1769,13998.4
1770,27621.359999999997
1771,31868.0
1772,14789.320000000002
1773,20584.0
1774,36741.0
1775,23458.32
1776,23678.72
1777,17083.68
1778,17745.0
1779,25487.0
1780,15939.0
1781,21953.0
1782,43047.0
1783,24848.0
1784,26625.0
1785,59756.759999999995
1786,20169.96
1787,18913.32
1788,22762.44
1789,17057.0
1790,19037.0
1791,55787.520000000004
1792,0.0
1793,38527.84
1794,22402.64
1795,46556.0
1796,15648.0
1797,32131.839999999997
1798,17881.079999999998
1799,22657.68
1800,25774.0
1801,20939.760000000002
1802,28776.0
1803,49915.0
1804,18402.0
1805,24023.0
